"protein_A","protein_B"
"Acat1","Gapdh"
"Acat1","Glrx3"
"Acat1","Glud1"
"Acat1","Grpel1"
"Acat1","Hypk"
"Acat1","Lap3"
"Acat1","Mapt"
"Acat1","Marcks"
"Acat1","Mdh1"
"Acat1","Me1"
"Acat1","Mtap"
"Acat1","Mut"
"Acat1","Naa15"
"Acat1","Ndrg1"
"Acat1","Nedd4"
"Acat1","Ogdh"
"Acat1","Ogdhl"
"Acat1","Ola1"
"Acat1","Osgep"
"Acat1","Otub1"
"Acat1","P4hb"
"Acat1","Paip1"
"Acat1","Park7"
"Acat1","Pcx"
"Acat1","Pdia6"
"Acat1","Pdxk"
"Acat1","Pfdn1"
"Acat1","Pfdn2"
"Acat1","Pfdn4"
"Acat1","Pfdn6"
"Acat1","Pls3"
"Acat1","Ppa1"
"Acat1","Ppm1b"
"Acat1","Ppp1ca"
"Acat1","Ppp1cb"
"Acat1","Ppp1r11"
"Acat1","Ppp1r7"
"Acat1","Ppp2r1a"
"Acat1","Rad23b"
"Acat1","Rnh1"
"Acat1","Sae1"
"Acat1","Sars"
"Acat1","Sdf4"
"Acat1","Serpinb6a"
"Acat1","Sf1"
"Acat1","Srsf2"
"Acat1","Strap"
"Acat1","Syn1"
"Acat1","Tpi1"
"Acat1","Trnt1"
"Acat1","Ttll12"
"Acat1","Twf1"
"Acat1","Txn"
"Acat1","Uba2"
"Acat1","Usp5"
"Acat1","Vbp1"
"Acat3","Acot9"
"Acat3","Agl"
"Acat3","Ahcy"
"Acat3","Aldh2"
"Acat3","Aldh7a1"
"Acat3","Aldoa"
"Acat3","Arpc1b"
"Acat3","Atic"
"Acat3","Atp5b"
"Acat3","C3"
"Acat3","Cacybp"
"Acat3","Capn2"
"Acat3","Capns1"
"Acat3","Cbs"
"Acat3","Ckb"
"Acat3","Dcps"
"Acat3","Dtd1"
"Acat3","Etnppl"
"Acat3","Fh"
"Acat3","G6pdx"
"Acat3","Gclc"
"Acat3","Gclm"
"Acat3","Gga1"
"Acat3","Gk"
"Acat3","Glud1"
"Acat3","Gmds"
"Acat3","Gss"
"Acat3","Hibadh"
"Acat3","Iscu"
"Acat3","Ivd"
"Acat3","Ldha"
"Acat3","Ldhb"
"Acat3","Mpp6"
"Acat3","Nae1"
"Acat3","Ndrg3"
"Acat3","Nedd8"
"Acat3","Ola1"
"Acat3","Pafah1b1"
"Acat3","Pcna"
"Acat3","Pcx"
"Acat3","Pcyt2"
"Acat3","Pdcd6ip"
"Acat3","Pdia4"
"Acat3","Pdlim1"
"Acat3","Pfas"
"Acat3","Plpbp"
"Acat3","Ppp1r2"
"Acat3","Ptma"
"Acat3","Pygl"
"Acat3","Pygm"
"Acat3","Rdx"
"Acat3","Rprd1b"
"Acat3","Rwdd1"
"Acat3","Shpk"
"Acat3","Snap29"
"Acat3","Suox"
"Acat3","Swap70"
"Acat3","Tbcb"
"Acat3","Tgm2"
"Acat3","Timm10"
"Acat3","Trnt1"
"Acat3","Txnrd1"
"Acat3","Uba1"
"Acat3","Vcl"
"Acat3","Xpnpep1"
"Acat3","Ywhab"
"Acat3","Ywhae"
"Acat3","Ywhag"
"Acat3","Ywhaq"
"Acat3","Ywhaz"
"Acbd6","Acss2"
"Acbd6","Aldh9a1"
"Acbd6","Apip"
"Acbd6","Eno1"
"Acbd6","Etfa"
"Acbd6","Ndrg1"
"Acbd6","Prepl"
"Acbd6","Sephs2"
"Acbd6","Serpina1a"
"Acbd6","Stmn1"
"Acbd6","Taldo1"
"Acbd6","Ttr"
"Acin1","Csad"
"Acin1","H1f0"
"Acin1","Rps23"
"Acin1","Sptbn2"
"Acly","Aldh1l1"
"Acly","Basp1"
"Acly","Ctdp1"
"Acly","Dnm3"
"Acly","Epb41l1"
"Acly","Fnbp1"
"Acly","Ganab"
"Acly","Hdlbp"
"Acly","Hyou1"
"Acly","Impdh1"
"Acly","Kif3b"
"Acly","Kifap3"
"Acly","Mylk"
"Acly","Nmt1"
"Acly","Nudcd3"
"Acly","Ogfr"
"Acly","Paics"
"Acly","Pdxdc1"
"Acly","Pir"
"Acly","Prdx4"
"Acly","Qrich1"
"Acly","Ric8a"
"Acly","Sec24c"
"Acly","Supt4h1b"
"Acly","Supt5h"
"Acly","Tpm1"
"Acly","Tpm2"
"Acly","Tpm3"
"Acly","Tpm4"
"Acly","Ubl7"
"Acly","Usp8"
"Acly","Wdr61"
"Aco1","Aplp2"
"Aco1","Asl"
"Aco1","Bcat1"
"Aco1","Ddc"
"Aco1","Eno2"
"Aco1","Gbp2"
"Aco1","Isoc1"
"Aco1","Map4k2"
"Aco1","Msn"
"Aco1","Naxd"
"Aco1","Nhlrc2"
"Aco1","Pak2"
"Aco1","Pgp"
"Aco1","Sephs1"
"Aco1","Sncb"
"Aco1","Stmn1"
"Aco1","Taldo1"
"Aco2","Asrgl1"
"Aco2","Prdx1"
"Aco2","Prdx2"
"Aco2","Prdx5"
"Aco2","Serpinb6a"
"Aco2","Sncb"
"Aco2","Stmn1"
"Aco2","Taldo1"
"Acot7","Acss2"
"Acot7","Ahsa1"
"Acot7","Ahsg"
"Acot7","Eno1"
"Acot7","Eno3"
"Acot7","Fdps"
"Acot7","Gm20390"
"Acot7","Got1"
"Acot7","Hspa12a"
"Acot7","Hspe1"
"Acot7","Idh1"
"Acot7","Nans"
"Acot7","Phyhipl"
"Acot7","Plaa"
"Acot7","Ppp1r1b"
"Acot7","Prep"
"Acot7","Prepl"
"Acot7","Sncb"
"Acot7","Stmn1"
"Acot7","Taldo1"
"Acot7","Ttr"
"Acot7","Ubqln1"
"Acot9","Aldh2"
"Acot9","Aldh7a1"
"Acot9","Aldoa"
"Acot9","Atp5b"
"Acot9","C3"
"Acot9","Capn2"
"Acot9","Cbs"
"Acot9","Gmds"
"Acot9","Pcna"
"Acot9","Pcx"
"Acot9","Pdcd4"
"Acot9","Pdcd6ip"
"Acot9","Pdlim1"
"Acot9","Pfas"
"Acot9","Pygl"
"Acot9","Shpk"
"Acot9","Syn1"
"Acot9","Timm10"
"Acot9","Trnt1"
"Acot9","Uba1"
"Acot9","Vcl"
"Acot9","Xpnpep1"
"Acox1","Dek"
"Acox1","Phgdh"
"Acox1","Uba6"
"Acsl1","Ahnak"
"Acsl1","Ank3"
"Acsl1","Caprin1"
"Acsl1","Cltb"
"Acsl1","Cltc"
"Acsl1","Ddx1"
"Acsl1","Ddx3x"
"Acsl1","Dlat"
"Acsl1","Fam98b"
"Acsl1","Gm7729"
"Acsl1","Hadha"
"Acsl1","Hadhb"
"Acsl1","Hist1h1c"
"Acsl1","Hnrnpa3"
"Acsl1","Hnrnpu"
"Acsl1","Hp1bp3"
"Acsl1","Iars"
"Acsl1","Ina"
"Acsl1","Khdrbs1"
"Acsl1","Macf1"
"Acsl1","Map1b"
"Acsl1","Map2k1"
"Acsl1","Mars"
"Acsl1","Mvp"
"Acsl1","Nefh"
"Acsl1","Nefm"
"Acsl1","Rars"
"Acsl1","Rpl10"
"Acsl1","Rpl10a"
"Acsl1","Rpl12"
